2018-06-11 16:18:55 - NOTICE --> Create Apache .htaccess Security file [] {"memory_peak_usage":"14.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":329,"class":"GFPDF\\Model\\Model_Install","function":"create_folder_structures"}
2018-06-11 16:18:56 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"20.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:18:57 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"16.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:19:08 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"18.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:19:14 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"8.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:19:25 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"18.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:19:32 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"10.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:19:48 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"16.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:20:08 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"32.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:20:09 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"30.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
2018-06-11 16:20:13 - NOTICE --> Flushing WordPress Rewrite Rules. [] {"memory_peak_usage":"24.25 MB","file":"/Users/greggall/Sites/Peachtree/wp-content/plugins/gravity-forms-pdf-extended/src/model/Model_Install.php","line":394,"class":"GFPDF\\Model\\Model_Install","function":"maybe_flush_rewrite_rules"}
